epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,792.79,2.71317,3.08169,1.26976,0.17403,0.29437,0.19401,0.0719,1.9834,2.09744,1.00127,0.000552082,0.000552082,0.000552082
2,1536,2.5568,2.36847,1.22619,0.29403,0.4698,0.26771,0.09715,2.24417,2.05754,1.057,0.00108581,0.00108581,0.00108581
3,2334.72,2.51319,2.16831,1.2154,0.27976,0.58245,0.36619,0.16577,1.98871,1.81286,1.0276,0.00159754,0.00159754,0.00159754
4,3193.89,2.48699,2.05167,1.19552,0.39267,0.56472,0.41999,0.18201,2.16379,1.72801,1.08095,0.00156798,0.00156798,0.00156798
5,4016.36,2.43765,1.94352,1.17829,0.49725,0.41614,0.4055,0.14667,2.19991,1.79195,1.08933,0.00153497,0.00153497,0.00153497
6,4977.17,2.39748,1.89702,1.1614,0.46009,0.5154,0.44679,0.17677,1.99692,1.54692,1.01631,0.00150197,0.00150197,0.00150197
7,5938.14,2.35111,1.81338,1.14232,0.441,0.50726,0.43312,0.17723,1.98377,1.56993,1.02051,0.00146896,0.00146896,0.00146896
8,6898.44,2.28267,1.74403,1.12549,0.50446,0.43589,0.45551,0.19519,2.04013,1.54254,1.03941,0.00143595,0.00143595,0.00143595
9,7869.19,2.24286,1.70347,1.11632,0.42629,0.43674,0.46196,0.17382,2.33005,1.72715,1.10281,0.00140295,0.00140295,0.00140295
10,8836.13,2.22891,1.65512,1.10563,0.51156,0.54548,0.48244,0.23256,1.81681,1.4207,0.99111,0.00136994,0.00136994,0.00136994
11,9803.77,2.18589,1.60965,1.09956,0.52786,0.62002,0.57403,0.27978,1.74887,1.35454,0.97966,0.00133693,0.00133693,0.00133693
12,10771.7,2.17841,1.59803,1.09492,0.53647,0.58454,0.56462,0.26846,1.95101,1.43813,1.01558,0.00130393,0.00130393,0.00130393
13,11740,2.11883,1.54221,1.07504,0.63598,0.61464,0.59684,0.29923,1.83629,1.2751,0.98611,0.00127092,0.00127092,0.00127092
14,12705.5,2.10779,1.54747,1.08243,0.52599,0.49099,0.52166,0.20949,2.15381,1.6006,1.05327,0.00123791,0.00123791,0.00123791
15,13671.9,2.08327,1.50313,1.06967,0.50379,0.64269,0.55695,0.2818,1.85944,1.35998,0.99442,0.00120491,0.00120491,0.00120491
16,14639.2,2.0762,1.46493,1.06411,0.62571,0.58266,0.61102,0.3285,1.76492,1.27957,0.97923,0.0011719,0.0011719,0.0011719
17,15602.2,2.05554,1.46224,1.06483,0.49209,0.60923,0.51801,0.20239,2.22327,1.4962,1.06596,0.00113889,0.00113889,0.00113889
18,19366.3,2.02719,1.42105,1.04719,0.5364,0.61122,0.55485,0.28947,1.68876,1.26569,0.95358,0.00110589,0.00110589,0.00110589
19,20331.6,2.02466,1.40193,1.04801,0.62844,0.65221,0.70811,0.35111,1.8177,1.25707,0.98373,0.00107288,0.00107288,0.00107288
20,21293.3,1.99962,1.3935,1.04386,0.54345,0.41182,0.3967,0.16092,2.21628,1.43574,1.07815,0.00103987,0.00103987,0.00103987
21,22261.2,1.97224,1.366,1.03804,0.46764,0.57369,0.49748,0.22329,1.92065,1.33893,0.99425,0.00100687,0.00100687,0.00100687
22,23227.2,1.99801,1.36359,1.04674,0.52544,0.71155,0.61769,0.27671,1.91771,1.25352,1.00498,0.000973861,0.000973861,0.000973861
23,23953.3,1.97933,1.35225,1.03633,0.63921,0.63608,0.64501,0.33686,1.76523,1.1899,0.9693,0.000940855,0.000940855,0.000940855
24,24644.3,1.95228,1.34288,1.03491,0.63858,0.61378,0.63196,0.28675,1.87772,1.24841,0.99193,0.000907848,0.000907848,0.000907848
25,25339.8,1.94348,1.32072,1.03068,0.71719,0.55946,0.64834,0.32439,1.76418,1.17593,0.97056,0.000874842,0.000874842,0.000874842
26,26055.6,1.94084,1.30474,1.02986,0.51754,0.60068,0.5892,0.26371,1.84087,1.25279,0.9803,0.000841835,0.000841835,0.000841835
27,26879.2,1.92087,1.29445,1.02293,0.56989,0.72739,0.70442,0.3591,1.75642,1.1766,0.96116,0.000808828,0.000808828,0.000808828
28,27703.9,1.89728,1.28678,1.01569,0.54815,0.65094,0.6249,0.29434,1.85436,1.19692,0.98417,0.000775822,0.000775822,0.000775822
29,28451.3,1.89149,1.27844,1.01957,0.57675,0.56523,0.59472,0.27777,1.84396,1.21671,0.98293,0.000742815,0.000742815,0.000742815
30,29137.6,1.84955,1.24058,1.00452,0.54077,0.64137,0.5818,0.28657,1.845,1.21861,0.97283,0.000709809,0.000709809,0.000709809
31,29828.5,1.86804,1.25122,1.01295,0.60585,0.66685,0.68004,0.34979,1.81114,1.19741,0.97578,0.000676802,0.000676802,0.000676802
32,30518.5,1.84797,1.24214,1.01133,0.65198,0.67041,0.69318,0.36451,1.70499,1.14853,0.95485,0.000643795,0.000643795,0.000643795
33,31204.3,1.84384,1.22913,1.0016,0.55871,0.65882,0.62035,0.32519,1.73477,1.14679,0.96225,0.000610789,0.000610789,0.000610789
34,32052.6,1.84569,1.23298,1.00532,0.53204,0.65423,0.60084,0.29855,1.7894,1.14048,0.9715,0.000577782,0.000577782,0.000577782
35,32741.7,1.80779,1.19845,1.00145,0.63321,0.67911,0.69722,0.35818,1.76019,1.12195,0.96163,0.000544776,0.000544776,0.000544776
36,33429.2,1.81423,1.19291,1.00387,0.62758,0.59636,0.61808,0.28134,1.86987,1.20146,0.98208,0.000511769,0.000511769,0.000511769
37,34248.3,1.80721,1.19327,0.99857,0.67729,0.71834,0.70787,0.36809,1.81648,1.12633,0.97587,0.000478762,0.000478762,0.000478762
38,34990.5,1.79253,1.18865,0.99796,0.68104,0.70078,0.70092,0.35662,1.7014,1.12224,0.95221,0.000445756,0.000445756,0.000445756
39,35703.2,1.76757,1.1629,0.98729,0.5986,0.66007,0.61777,0.30973,1.91497,1.159,0.99671,0.000412749,0.000412749,0.000412749
40,36400.4,1.76431,1.1645,0.98861,0.56963,0.69073,0.64138,0.34743,1.68942,1.10225,0.95628,0.000379743,0.000379743,0.000379743
41,37086.6,1.69634,1.126,1.00267,0.62474,0.65461,0.61149,0.27808,2.00621,1.179,1.01036,0.000346736,0.000346736,0.000346736
42,37970.5,1.67005,1.08463,0.98666,0.70487,0.65333,0.6717,0.33477,1.82099,1.12978,0.97395,0.000313729,0.000313729,0.000313729
43,38907.1,1.65655,1.07929,0.98356,0.61107,0.63768,0.62205,0.31322,1.73493,1.12436,0.95789,0.000280723,0.000280723,0.000280723
44,39843.5,1.6509,1.05671,0.9894,0.6631,0.62339,0.64299,0.32339,1.83897,1.12842,0.98724,0.000247716,0.000247716,0.000247716
45,40782,1.61437,1.04006,0.97585,0.65004,0.72349,0.68644,0.34677,1.8614,1.12906,0.97975,0.00021471,0.00021471,0.00021471
46,41716.8,1.59799,1.02454,0.97697,0.58175,0.7597,0.66303,0.33976,1.80898,1.11947,0.96888,0.000181703,0.000181703,0.000181703
47,42652.1,1.58681,1.02388,0.97255,0.59098,0.63406,0.63281,0.31425,1.85089,1.11925,0.97429,0.000148696,0.000148696,0.000148696
48,43583.6,1.58674,1.01985,0.97347,0.62612,0.65776,0.65613,0.33042,1.84806,1.13526,0.97647,0.00011569,0.00011569,0.00011569
49,44517.8,1.56422,1.00505,0.96552,0.61483,0.71616,0.67815,0.34279,1.8113,1.10593,0.96826,8.26832e-05,8.26832e-05,8.26832e-05
50,45451.8,1.56147,1.00701,0.96826,0.66847,0.67286,0.68626,0.34986,1.80631,1.08793,0.96571,4.96766e-05,4.96766e-05,4.96766e-05
